GameName,Id,JSD_ludeme,JSD_booleanConcept
/lud/board/war/replacement/checkmate/chess/Level Chess.lud_,1318,0.20758399429149238,0.15921863666960812
/lud/board/war/replacement/checkmate/chess/Korkserschach.lud_Ruleset/Korkserschach (Described),1430,0.1759509157704749,0.14895854632618075
/lud/board/war/replacement/checkmate/chess/Shafran Chess.lud_,859,0.13435582903658336,0.04504504504504504
/lud/board/war/replacement/checkmate/chess/Horde Chess.lud_,460,0.13225964372428914,0.08273053974319296
/lud/board/war/replacement/checkmate/chess/Russian Fortress Chess.lud_,1206,0.2548518239168829,0.22026916383331635
/lud/board/war/replacement/checkmate/chess/Acedrex (Alfonso).lud_,1439,0.11409194845031181,0.14920126012922166
/lud/board/war/replacement/checkmate/chess/Chex.lud_,551,0.2604661195994949,0.2117876640555741
/lud/board/war/replacement/checkmate/chess/Schachzabel.lud_,1331,0.12197492430108209,0.16390307929114661
/lud/board/war/replacement/checkmate/chess/Double Chess.lud_,45,0.16357867602432147,0.06999593722242434
/lud/board/war/replacement/checkmate/chess/Starchess.lud_,853,0.0355862489056099,0.04416434484544881
/lud/board/war/replacement/checkmate/chess/De Vasa Chess.lud_,858,0.10325947122280527,0.04504504504504504
/lud/board/war/replacement/checkmate/chess/Ultimate Chess.lud_,1014,0.2254656539138235,0.10448447886880327
/lud/board/war/replacement/checkmate/chess/Medieval Chess.lud_,1435,0.12579467910814893,0.13753375917281163
/lud/board/war/replacement/checkmate/chess/Viking Chess.lud_,1657,0.09738563852830597,0.06361479898266509
/lud/board/war/replacement/checkmate/chess/Symmetric Chess.lud_,1668,0.14559124039290677,0.07794991701937602
/lud/board/war/replacement/checkmate/chess/Four-Player Chess.lud_,1620,0.1857909459920227,0.13390933164142724
/lud/board/war/replacement/checkmate/chess/Currierspiel.lud_,821,0.13076931167391156,0.16390307929114661
/lud/board/war/replacement/checkmate/chess/Dice Chess.lud_,1152,0.1668690720629181,0.20705522712751612
/lud/board/war/replacement/checkmate/chess/Half Chess.lud_,133,0.14401011985745632,0.1098065885378838
/lud/board/war/replacement/checkmate/chess/Scachs.lud_,1415,0.15820873747723116,0.1732923775995824
/lud/board/war/replacement/checkmate/chess/Brusky Chess.lud_,856,0.12205012831201476,0.05495720419999563
/lud/board/war/replacement/checkmate/chess/Short Assize.lud_,1333,0.169244867994177,0.16505927749708368
/lud/board/war/replacement/checkmate/chess/Shakhmaty.lud_,1426,0.1413292449676326,0.13237472088157515
/lud/board/war/replacement/checkmate/chess/Forcado.lud_,979,0.20636659344231384,0.1585506968310984
/lud/board/war/replacement/checkmate/chess/Lombard Chess.lud_,1330,0.1258444486903567,0.146708931947569
/lud/board/war/replacement/checkmate/chess/Fischer Random Chess.lud_,1670,0.2351584486354487,0.09603621923549009
/lud/board/war/replacement/checkmate/chess/Welschschach.lud_,1431,0.1390989535617314,0.16254325307874778
/lud/board/war/replacement/checkmate/chess/Loop Chess.lud_,461,0.18694563653467675,0.10020233898617974
/lud/board/war/replacement/checkmate/chess/Glinski Chess.lud_,855,0.0,0.0
/lud/board/war/replacement/checkmate/chess/Long Assize.lud_,1332,0.12190666594658547,0.1466243897802141
/lud/board/war/replacement/checkmate/chess/Los Alamos Chess.lud_,462,0.08742829744164596,0.07330754974951027
/lud/board/war/replacement/checkmate/chess/Grande Acedrex.lud_Ruleset/Dice (Described),652,0.19496740741213484,0.20543790228102152
/lud/board/war/replacement/checkmate/chess/Wellisch Chess.lud_,852,0.22644482671437235,0.17614429979588633
/lud/board/war/replacement/checkmate/chess/1D Chess.lud_,1656,0.19431266084936016,0.14711417542786376
/lud/board/war/replacement/checkmate/chess/Grande Acedrex.lud_Ruleset/Alfonso X (Described),312,0.1812843475552922,0.19594844363860497
/lud/board/war/replacement/checkmate/chess/McCooey Chess.lud_,857,0.020887392541468448,0.0
/lud/board/war/replacement/checkmate/chess/Maharajah Chess.lud_,457,0.16870141958285362,0.1300399682693568
/lud/board/war/replacement/checkmate/chess/Alice Chess.lud_,1667,0.2240496398185442,0.10561963190410628
/lud/board/war/replacement/checkmate/chess/Chess.lud_,44,0.13438915462708553,0.07399464012169954
/lud/board/war/replacement/checkmate/chess/Unachess.lud_,1619,0.14519228225525121,0.10893823860767315
/lud/board/war/replacement/checkmate/chess/Acedrex de los Cuatros Tiempos.lud_,313,0.39429555990084514,0.22380246566028103
/lud/board/war/replacement/checkmate/chess/Amazon Chess.lud_,458,0.1256626977905295,0.06999593722242434
/lud/board/war/replacement/checkmate/chess/Social Distance Chess.lud_,552,0.12441848310958997,0.06999593722242434
/lud/board/war/replacement/checkmate/chess/Phase Chess.lud_,1011,0.1450593575350589,0.08186255373506439
/lud/board/war/replacement/checkmate/chess/Spartan Chess.lud_,1396,0.11875313188853961,0.09534708839636888
/lud/board/war/replacement/checkmate/chess/Mini Hexchess.lud_,854,0.03968150684412671,0.02289690048697683
