GameName,Id,JSD_ludeme,JSD_booleanConcept
/lud/board/war/replacement/checkmate/chess/Level Chess.lud_,1318,0.10396928866456062,0.11103872240453437
/lud/board/war/replacement/checkmate/chess/Korkserschach.lud_Ruleset/Korkserschach (Described),1430,0.08570840920647627,0.07625269966711502
/lud/board/war/replacement/checkmate/chess/Shafran Chess.lud_,859,0.09041254121130174,0.06925133133087966
/lud/board/war/replacement/checkmate/chess/Horde Chess.lud_,460,0.02697861940408808,0.02953105049093215
/lud/board/war/replacement/checkmate/chess/Russian Fortress Chess.lud_,1206,0.2621279825967309,0.22043186874583554
/lud/board/war/replacement/checkmate/chess/Acedrex (Alfonso).lud_,1439,0.09772032716885452,0.11583542011796276
/lud/board/war/replacement/checkmate/chess/Chex.lud_,551,0.21578433010111353,0.18828055901012072
/lud/board/war/replacement/checkmate/chess/Schachzabel.lud_,1331,0.08954513018444152,0.12071966591100079
/lud/board/war/replacement/checkmate/chess/Double Chess.lud_,45,0.028164313701445464,0.016929478544819646
/lud/board/war/replacement/checkmate/chess/Starchess.lud_,853,0.13741895409464386,0.1024910178122702
/lud/board/war/replacement/checkmate/chess/De Vasa Chess.lud_,858,0.07867335883177261,0.0779499170193761
/lud/board/war/replacement/checkmate/chess/Ultimate Chess.lud_,1014,0.08420043335608375,0.05284572296000337
/lud/board/war/replacement/checkmate/chess/Medieval Chess.lud_,1435,0.1726210392607634,0.13206094068672292
/lud/board/war/replacement/checkmate/chess/Viking Chess.lud_,1657,0.15603518466615798,0.04334656304524863
/lud/board/war/replacement/checkmate/chess/Symmetric Chess.lud_,1668,0.0,0.0
/lud/board/war/replacement/checkmate/chess/Four-Player Chess.lud_,1620,0.0531631684538029,0.0774142259134094
/lud/board/war/replacement/checkmate/chess/Currierspiel.lud_,821,0.1446226710248649,0.12071966591100079
/lud/board/war/replacement/checkmate/chess/Dice Chess.lud_,1152,0.16034815929778723,0.1529623473376357
/lud/board/war/replacement/checkmate/chess/Half Chess.lud_,133,0.17506690974391484,0.10411029933253059
/lud/board/war/replacement/checkmate/chess/Scachs.lud_,1415,0.02750811878442644,0.09859676371508737
/lud/board/war/replacement/checkmate/chess/Brusky Chess.lud_,856,0.08298145512477655,0.07892181460631818
/lud/board/war/replacement/checkmate/chess/Short Assize.lud_,1333,0.19310230996051164,0.1586305037269252
/lud/board/war/replacement/checkmate/chess/Shakhmaty.lud_,1426,0.030616466961157586,0.06546738600761727
/lud/board/war/replacement/checkmate/chess/Forcado.lud_,979,0.22953762947426926,0.15192377031722953
/lud/board/war/replacement/checkmate/chess/Lombard Chess.lud_,1330,0.08904156931135619,0.10549137764652068
/lud/board/war/replacement/checkmate/chess/Fischer Random Chess.lud_,1670,0.15282463995504647,0.04468059988207235
/lud/board/war/replacement/checkmate/chess/Welschschach.lud_,1431,0.14769862216839796,0.1109853069235215
/lud/board/war/replacement/checkmate/chess/Loop Chess.lud_,461,0.05756315819218052,0.04640877135195953
/lud/board/war/replacement/checkmate/chess/Glinski Chess.lud_,855,0.14559124039290677,0.07794991701937604
/lud/board/war/replacement/checkmate/chess/Long Assize.lud_,1332,0.0795200827533812,0.10718155644161029
/lud/board/war/replacement/checkmate/chess/Los Alamos Chess.lud_,462,0.1273996962831231,0.06120877257951666
/lud/board/war/replacement/checkmate/chess/Grande Acedrex.lud_Ruleset/Dice (Described),652,0.1752794820625853,0.1536308401578419
/lud/board/war/replacement/checkmate/chess/Wellisch Chess.lud_,852,0.17175043930899192,0.19605293762365297
/lud/board/war/replacement/checkmate/chess/1D Chess.lud_,1656,0.21399765785444097,0.13921062107692234
/lud/board/war/replacement/checkmate/chess/Grande Acedrex.lud_Ruleset/Alfonso X (Described),312,0.17068380536259484,0.14290168276741289
/lud/board/war/replacement/checkmate/chess/McCooey Chess.lud_,857,0.14624153721217903,0.07794991701937604
/lud/board/war/replacement/checkmate/chess/Maharajah Chess.lud_,457,0.05193142761384814,0.07335590146524891
/lud/board/war/replacement/checkmate/chess/Alice Chess.lud_,1667,0.10025777781397972,0.04515482792314706
/lud/board/war/replacement/checkmate/chess/Chess.lud_,44,0.010333525069753227,0.012653329629904907
/lud/board/war/replacement/checkmate/chess/Unachess.lud_,1619,0.12918707464547013,0.08016421307401406
/lud/board/war/replacement/checkmate/chess/Acedrex de los Cuatros Tiempos.lud_,313,0.356122893272482,0.21367098548122324
/lud/board/war/replacement/checkmate/chess/Amazon Chess.lud_,458,0.01856300554923514,0.016929478544819607
/lud/board/war/replacement/checkmate/chess/Social Distance Chess.lud_,552,0.019421577392348635,0.008454732670206029
/lud/board/war/replacement/checkmate/chess/Phase Chess.lud_,1011,0.029365320561439163,0.020915725816331426
/lud/board/war/replacement/checkmate/chess/Spartan Chess.lud_,1396,0.06413475761899771,0.050420168067226885
/lud/board/war/replacement/checkmate/chess/Mini Hexchess.lud_,854,0.16579199275233647,0.08359115828966374
