Id,geacron_similarity,concept_similarity
862,0.8385,-1
427,0.8828,0.74745588458305
278,0.8327,0.77436477685943
1519,0.8414,-1
1373,0.9089,-1
1614,-1,0.8437228723703301
1324,0.8406,-1
209,0.8289,0.75180908191088
630,-1,0.79605443076985
572,-1,0.81243645245785
176,0,0.78519798644354
1137,0.8286,-1
1972,0.8392999999999999,0.79932560723859
1027,0.832,0.83597224383196
542,-1,0.79257551689812
1632,0.9004,-1
849,0.8385,-1
174,0.8471,-1
2024,-1,0.75825881942018
629,-1,0.84840155810797
545,-1,0.78459502321456
1639,0.9004,-1
1631,0.9004,-1
38,0.835,0.82528125276112
1563,0.8319,0.76562027634102
227,0.8357,-1
1966,-1,0.8085132916517099
382,0.9464,-1
1498,0,-1
1523,0.7396,-1
1522,0.718,-1
182,0.7434000000000001,-1
706,-1,0.75417629973488
299,0.8934,0.969680445420306
726,1.0,0.76780713718281
1647,-1,0.88121681432874
1526,0.718,-1
1700,-1,0.77855609387363
19,0.8451,-1
1802,-1,0.87376800099834
912,0.8344,0.83686400998616
1661,-1,0.80265431507454
390,0.841,0.80453922709561
795,0.8358,0.72550502084013
1402,0.9183,-1
606,0.8291,0.77089210272341
676,-1,0.83641459432195
1446,0.8683,0.956469151857791
955,0.8883,0.80348812288038
1590,-1,0.83954240809022
1543,-1,0.8407004789826
1675,-1,0.7775012827182299
290,0.8281000000000001,0.72281252839748
1312,0.837,0.74220017988419
371,0.7806,0.72858279793514
890,0.8478,0.89480321431445
448,-1,0.78134263003902
1956,-1,0.8060383952731001
1259,0.8415,-1
323,0.8845,-1
1026,0.832,0.8084070946181701
794,-1,0.84542417586385
310,0.8664000000000001,-1
1294,0.8319,0.7576515973906
1328,0.8871,-1
445,-1,0.79647180400281
90,-1,0.81542575826776
1952,-1,0.78040162744153
1079,0.8313,0.78265586631121
2016,-1,0.78975094964191
1420,0.8324,-1
226,0.8331999999999999,0.71285749375117
342,0.8311999999999999,0.77462465131727
265,0.8356,0.7416258002857
1496,0,-1
731,1.0,0.78433607288898
331,0.7875,0.81154867585394
1573,0.8319,0.8445564586374
1626,0.8369,0.71797096031048
933,-1,0.80921502655706
1691,-1,0.77689590681618
345,0.8311999999999999,0.74808312681891
554,-1,0.79334868306771
1925,-1,0.78140506327714
704,-1,0.7480473138955299
1959,0.9208,-1
1423,0.8366,-1
149,0.8404,0.800478158968
1633,0.9004,-1
457,-1,0.935820982328195
2,0.7396,-1
318,0.837,0.961042123459268
1135,0.9452,-1
420,0.8828,0.73651918706955
1159,-1,0.81800354686441
1851,-1,0.77993917349982
463,-1,0.89363145913813
770,0.895,0.77168994780454
1930,-1,0.78144732450557
544,0.9297,-1
1729,-1,0.80159526083236
196,0.9017,0.80430565414338
493,-1,0.72675264036387
596,0.9961,0.8492172740303
366,0.8311999999999999,0.73687252635384
1042,0.832,0.8225594039522199
349,0.8311999999999999,0.78228425680645
1938,0.8839,-1
392,-1,0.8719407723141099
1817,-1,0.8497652489458201
1228,0.8362,0.82124012567321
1798,-1,0.84041627993571
883,0.8456,0.89153087779424
1323,-1,0.8121367693507
351,0.8311999999999999,0.76730573365409
1829,-1,0.78594894079405
386,0.839,0.8404023550351
924,-1,0.80920375175238
864,0.8331999999999999,0.77507084678894
1896,-1,0.78111975127647
1816,-1,0.8474288671476
1422,0,-1
157,0.8358,0.83575035905784
1063,0.8309,0.78234269953221
597,-1,0.82853630628552
186,0.8358,0.8326532056906499
721,0.7876,0.8033407166837
1205,0.9283,-1
1287,0.8319,0.75446389570691
858,-1,0.9121051135638429
1545,-1,0.915994343488471
953,0.8388,0.82070013152529
1623,-1,0.923694464981655
1354,-1,0.8156509670064
329,0.8359,0.76793261448596
1718,-1,0.78116469001056
1595,-1,0.8420947073637199
86,-1,0.7636403784343
1770,-1,0.82510362217101
555,-1,0.7434110346228
1283,0.8344,0.73489573806371
588,-1,0.79669438943131
631,-1,0.79273002654348
1598,-1,0.8413332457599401
2021,0,-1
838,0.8376,0.80115898617625
1836,-1,0.82553875681568
1334,0.8891,-1
882,0.8678,0.88921122670679
1569,0,-1
467,-1,0.78468115114011
105,-1,0.76419612214422
603,0,0.80892105819322
1861,-1,0.7800799710905499
691,-1,0.6864686503797199
608,0.8363,0.76640786022079
1191,0.8828,0.79070259392874
1268,-1,0.82238141149007
591,-1,0.78066190989229
11,0.768,-1
1365,0.8311999999999999,0.7356367665047601
1161,-1,0.78038585427458
208,0.8291,-1
1531,-1,0.78228087024948
1303,0.8375,-1
1963,-1,0.79619521112498
55,0.9089,0.88058478035893
1474,0.9203,-1
973,0.8362,0.82885204401606
1348,0.8311,-1
1293,0.8319,0.75766265667198
1929,0.8843,0.82488536932251
1037,0.832,0.84404924087522
212,0.9089,0.74966313562091
229,0.8331999999999999,0.72880911169168
951,0.8832,0.79903438188917
1271,0.8478,-1
573,-1,0.80482282805102
1607,-1,0.8376972237192299
879,0.9236,0.8989208945109199
875,0.8891,0.84577823374971
600,-1,0.73439129582762
1425,-1,0.77298946682695
800,0.8379,-1
408,-1,0.86796851659951
450,-1,0.7403033609485
839,0.8376,0.7298654016716
214,0.8874,0.7454851730615499
125,-1,0.75124241640587
1891,-1,0.7800822773934
1096,0.8371999999999999,0.79845243466068
1404,-1,0.80336567938018
970,0.8362,0.83931042236093
455,-1,0.944307989781601
779,0.8828,0.85684250212073
1386,0.8831,0.88909972158593
1986,-1,0.76418159893294
1807,-1,0.81912794403987
1065,0.8664000000000001,-1
1903,-1,0.78007974060078
1177,0.8378,0.76794171235164
1183,0.8639,-1
1749,0.9343,-1
5,0.7396,-1
1846,-1,0.78168238725525
179,0.8358,0.7855648328913
1608,-1,0.84568100222619
1625,-1,0.80583351460305
1696,-1,0.77817817511313
1355,-1,0.8022816917518
53,-1,0.88187852187703
1530,0.8408,0.89033054192647
398,-1,0.7412617886906
540,-1,0.84956902143508
1693,-1,0.77750287679164
1552,-1,0.8220310309101
638,0.8356,0.74124546963814
171,0.8589,0.81678507855856
1820,-1,0.81268780686192
1667,-1,0.932719919711371
1881,-1,0.78140164696752
754,0.8952,-1
1699,-1,0.7775002523639201
1769,-1,0.93110066968221
937,-1,0.80919722699139
950,0.8331999999999999,0.79286429792571
1251,-1,0.84404880781807
431,0.836,0.7780527711833201
917,0.8345,0.78131207249183
646,0,0.77871807484704
1872,-1,0.78111509713325
1886,-1,0.7816837391111899
1914,-1,0.78007922293081
1606,-1,0.88781004422357
1627,0.8382000000000001,0.9603519674838
1991,0.8265,0.82980343916434
164,0,0.83614919220741
1321,0.837,0.75607404496905
1520,-1,0.7612052909689699
338,0.8365,0.81295485692073
802,0.8927,-1
1115,0.9483,0.7892698881939499
1844,-1,0.77136333387005
