Id,geacron_similarity,concept_similarity
1530,0.8898,0.76505306696275
1966,-1,0.75322670925088
1909,-1,0.74280523674975
748,0.9432,0.78530616252241
880,0.8593,0.76392599006239
1503,0.8717,-1
1177,0.9428,0.76808895833503
365,0.9994,0.916414031914674
950,0.9474,0.7512513136775301
1165,0.944,-1
317,0.9424,-1
349,0.9994,0.89973117544029
2041,0.8260000000000001,-1
291,0.8969,0.73138990439818
1656,-1,0.70101420807486
203,0.8918,0.77989863458714
852,-1,0.76314267638315
1993,-1,0.746446825352
1975,-1,0.75747192392423
2019,-1,0.73555784656928
1257,0,-1
1492,0,-1
827,0.943,-1
1790,0.8681,-1
896,0.9427,0.76216420039946
2089,-1,0.7380047156499
646,0,0.7648851363644
1194,0.9478,0.74102718858924
1282,0.9462,0.935488484630727
1002,0.8906000000000001,-1
2029,-1,0.76817001978055
1917,-1,0.7443056488106601
1372,0.8928,-1
1055,0.8989,-1
805,0.9442,0.75993005609649
632,0.9456,0.7411001442805
358,0.9994,0.939950724890041
958,0.943,-1
414,-1,0.71392304575611
348,0.9994,0.901304814509742
1901,-1,0.7421052394261001
1815,-1,0.7256475020966899
545,-1,0.7040193498427401
11,0.6486000000000001,-1
992,0.9355,-1
335,0.8487,-1
2008,-1,0.76718686088487
1452,-1,0.72317540583216
1036,0.8986,0.72883367814043
1352,0.8994,-1
2035,0.8417,-1
388,-1,0.74812472376062
1932,-1,0.76574727324694
381,-1,0.71435412023888
171,0.8717,0.71060201282771
676,-1,0.78015143653474
1687,-1,0.75841768279039
129,-1,0.70009666084373
751,0.9429,0.78601622129245
703,0.9498,0.85033048914995
800,0.7185,-1
368,0.9994,0.924306153289548
1468,0.9427,0.71415898466785
699,-1,0.66917776132352
1087,0.8421,-1
574,-1,0.73549294990363
1012,-1,0.7408003732688
243,0.9454,0.915656546595368
265,0.945,0.89994077582779
125,-1,0.69449563560257
700,-1,0.69189601132509
1903,-1,0.74170413712437
489,0.9248,0.75229463562472
916,0.9456,0.75857736826571
1047,0.9315,0.80409072783498
740,0.9396,0.730726063916
1341,0.8253,-1
1129,0.9325,0.74274659062535
817,0.8885,0.76132668063431
86,-1,0.72689431325839
1981,-1,0.72292197022391
1025,0.8986,0.78601540399298
1662,-1,0.7462970361995
1927,-1,0.73027813573585
1274,0.9416,-1
1461,0.9394,-1
937,-1,0.77911554112044
1968,-1,0.72860719592542
313,0.8306,0.72700685084949
1723,-1,0.75465917035312
230,0.9462,0.914151355641142
1068,0.9419,0.75058453836155
1385,0.8989,0.89649595901567
1308,0.9435,0.88226743542831
1683,-1,0.7596973615499
1702,-1,0.75908020499747
189,0.8859,0.70882981618507
1114,0.8323,0.76733315639481
1150,-1,0.67301335523284
587,-1,0.73992547187765
248,0.9,0.919131377680631
1913,-1,0.74349435061963
1977,-1,0.6958469086178101
1121,0.9363,0.7844483319104
108,-1,0.66762838750447
295,-1,0.73118160849628
79,-1,0.74677580146497
1908,-1,0.7420970245956999
677,0.8918,0.77161887984351
1168,0.9483,0.76511893908073
2014,-1,0.78553500355878
1102,0.9407,-1
806,0.9442,0.7489281595073101
176,0,0.78275894595488
2042,0.8744000000000001,-1
745,0.9432,0.80199305143295
150,0.9448,0.7530658834945401
521,0.8883,0.7480661154075701
288,0,0.88711084211403
212,0.8717,0.922052352283487
367,0.9994,0.934170062149968
984,0.9191,0.76334430432752
1831,-1,0.7350781807523901
995,0.9339999999999999,-1
1754,0.7649,-1
412,0.8859,0.906223063363762
126,-1,0.72028855038297
588,-1,0.73972916721018
1030,0.8986,0.76462818667568
1392,0.9460999999999999,0.89588263494102
949,0.8717,0.73587758496623
311,0.7875,0.72018675885303
786,-1,0.79734670503179
257,0.9436,0.909576591246415
1449,0.7649,-1
1633,0.9447,-1
2037,0.8623000000000001,-1
1139,0.9474,0.7321776720243001
598,0.8267,0.7360511640719101
644,0,0.76200311290182
1796,-1,0.76470088639676
325,0.8918,0.79468150336836
2003,-1,0.75016708951657
1751,0.7649,-1
1130,0.9458,0.70328159172663
