game=../Common/res/lud/board/space/line/Queen's Four.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=-77,46,-71,-95,33,61,97,76
Move=[Move:mover=0,from=7,to=7,actions=[Add:type=Cell,to=7,what=1]]
Move=[Move:mover=0,from=22,to=22,actions=[Add:type=Cell,to=22,what=1]]
Move=[Move:mover=0,from=67,to=67,actions=[Add:type=Cell,to=67,what=1]]
Move=[Move:mover=0,from=82,to=82,actions=[Add:type=Cell,to=82,what=1]]
Move=[Move:mover=0,from=127,to=127,actions=[Add:type=Cell,to=127,what=1]]
Move=[Move:mover=0,from=142,to=142,actions=[Add:type=Cell,to=142,what=1]]
Move=[Move:mover=0,from=37,to=37,actions=[Add:type=Cell,to=37,what=2]]
Move=[Move:mover=0,from=52,to=52,actions=[Add:type=Cell,to=52,what=2]]
Move=[Move:mover=0,from=97,to=97,actions=[Add:type=Cell,to=97,what=2]]
Move=[Move:mover=0,from=112,to=112,actions=[Add:type=Cell,to=112,what=2]]
Move=[Move:mover=0,from=157,to=157,actions=[Add:type=Cell,to=157,what=2]]
Move=[Move:mover=0,from=172,to=172,actions=[Add:type=Cell,to=172,what=2]]
Move=[Move:mover=1,from=67,to=71,actions=[Move:typeFrom=Cell,from=67,typeTo=Cell,to=71,decision=true]]
Move=[Move:mover=2,from=172,to=124,actions=[Move:typeFrom=Cell,from=172,typeTo=Cell,to=124,decision=true]]
Move=[Move:mover=1,from=22,to=16,actions=[Move:typeFrom=Cell,from=22,typeTo=Cell,to=16,decision=true]]
Move=[Move:mover=2,from=52,to=58,actions=[Move:typeFrom=Cell,from=52,typeTo=Cell,to=58,decision=true]]
Move=[Move:mover=1,from=82,to=114,actions=[Move:typeFrom=Cell,from=82,typeTo=Cell,to=114,decision=true]]
Move=[Move:mover=2,from=37,to=36,actions=[Move:typeFrom=Cell,from=37,typeTo=Cell,to=36,decision=true]]
Move=[Move:mover=1,from=71,to=69,actions=[Move:typeFrom=Cell,from=71,typeTo=Cell,to=69,decision=true]]
Move=[Move:mover=2,from=124,to=139,actions=[Move:typeFrom=Cell,from=124,typeTo=Cell,to=139,decision=true]]
Move=[Move:mover=1,from=7,to=103,actions=[Move:typeFrom=Cell,from=7,typeTo=Cell,to=103,decision=true]]
Move=[Move:mover=2,from=157,to=159,actions=[Move:typeFrom=Cell,from=157,typeTo=Cell,to=159,decision=true]]
Move=[Move:mover=1,from=16,to=151,actions=[Move:typeFrom=Cell,from=16,typeTo=Cell,to=151,decision=true]]
Move=[Move:mover=2,from=112,to=106,actions=[Move:typeFrom=Cell,from=112,typeTo=Cell,to=106,decision=true]]
Move=[Move:mover=1,from=103,to=98,actions=[Move:typeFrom=Cell,from=103,typeTo=Cell,to=98,decision=true]]
Move=[Move:mover=2,from=139,to=136,actions=[Move:typeFrom=Cell,from=139,typeTo=Cell,to=136,decision=true]]
Move=[Move:mover=1,from=127,to=63,actions=[Move:typeFrom=Cell,from=127,typeTo=Cell,to=63,decision=true]]
Move=[Move:mover=2,from=58,to=51,actions=[Move:typeFrom=Cell,from=58,typeTo=Cell,to=51,decision=true]]
Move=[Move:mover=1,from=98,to=8,actions=[Move:typeFrom=Cell,from=98,typeTo=Cell,to=8,decision=true]]
Move=[Move:mover=2,from=36,to=37,actions=[Move:typeFrom=Cell,from=36,typeTo=Cell,to=37,decision=true]]
Move=[Move:mover=1,from=69,to=83,actions=[Move:typeFrom=Cell,from=69,typeTo=Cell,to=83,decision=true]]
Move=[Move:mover=2,from=136,to=122,actions=[Move:typeFrom=Cell,from=136,typeTo=Cell,to=122,decision=true]]
Move=[Move:mover=1,from=114,to=144,actions=[Move:typeFrom=Cell,from=114,typeTo=Cell,to=144,decision=true]]
Move=[Move:mover=2,from=106,to=92,actions=[Move:typeFrom=Cell,from=106,typeTo=Cell,to=92,decision=true]]
Move=[Move:mover=1,from=151,to=136,actions=[Move:typeFrom=Cell,from=151,typeTo=Cell,to=136,decision=true]]
Move=[Move:mover=2,from=97,to=111,actions=[Move:typeFrom=Cell,from=97,typeTo=Cell,to=111,decision=true]]
